,response,touch_sensor,turn right,turn left,forward,backward,check
525,2,0,0,0,1,0,0
526,-1,0,1,0,0,0,0
527,-1,0,0,1,0,0,0
528,2,0,0,0,0,0,0
529,-1,0,1,0,0,0,0
530,-1,-1,0,0,0,0,1
531,-1,0,0,1,0,0,0
532,-1,-1,0,0,0,0,1
533,-1,0,0,1,0,0,0
534,2,0,0,0,1,0,0
535,-1,0,0,1,0,0,0
536,-1,-1,0,0,0,0,1
537,-1,0,1,0,0,0,0
538,2,0,0,0,0,0,0
539,-1,0,1,0,0,0,0
540,-1,0,1,0,0,0,0
541,2,0,0,0,0,0,0
542,-1,-1,0,0,0,0,1
543,-1,0,0,1,0,0,0
544,-1,0,1,0,0,0,0
545,2,0,0,0,1,0,0
546,-1,0,0,1,0,0,0
547,2,0,0,0,0,0,0
548,-1,0,0,1,0,0,0
549,2,0,0,0,1,0,0
550,-10,0,0,0,1,0,0
551,2,0,0,0,0,0,0
552,-1,-1,0,0,0,0,1
553,2,0,0,0,1,0,0
554,-1,1,0,0,0,0,1
555,-1,0,1,0,0,0,0
556,2,0,0,0,0,0,0
557,2,0,0,0,0,0,0
558,-1,0,0,1,0,0,0
559,-1,-1,0,0,0,0,1
560,2,0,0,0,0,0,0
561,-1,-1,0,0,0,0,1
562,-1,0,1,0,0,0,0
563,2,0,0,0,1,0,0
564,-1,0,1,0,0,0,0
565,2,0,0,0,0,0,0
566,-10,0,0,0,0,0,0
567,2,0,0,0,1,0,0
568,2,0,0,0,1,0,0
569,-1,0,1,0,0,0,0
570,2,0,0,0,0,0,0
571,-1,-1,0,0,0,0,1
572,2,0,0,0,1,0,0
573,-1,0,1,0,0,0,0
574,-1,0,0,1,0,0,0
575,-1,0,1,0,0,0,0
576,-1,-1,0,0,0,0,1
577,-1,0,0,1,0,0,0
578,-1,0,1,0,0,0,0
579,2,0,0,0,1,0,0
580,-1,-1,0,0,0,0,1
581,-1,-1,0,0,0,0,1
582,2,0,0,0,1,0,0
583,-1,0,0,1,0,0,0
584,-1,0,1,0,0,0,0
585,2,0,0,0,0,0,0
586,-1,0,0,1,0,0,0
587,-1,0,0,1,0,0,0
588,-1,0,0,1,0,0,0
589,-1,0,0,1,0,0,0
590,-1,-1,0,0,0,0,1
591,2,0,0,0,1,0,0
592,-1,0,1,0,0,0,0
593,-1,0,1,0,0,0,0
594,2,0,0,0,1,0,0
595,-1,0,0,1,0,0,0
596,2,0,0,0,1,0,0
597,-1,-1,0,0,0,0,1
598,-1,0,0,1,0,0,0
599,2,0,0,0,1,0,0
600,-1,1,0,0,0,0,1
601,-1,1,0,0,0,0,1
602,-10,0,0,0,1,0,0
603,-10,0,0,0,1,0,0
604,-1,1,0,0,0,0,1
605,-10,0,0,0,1,0,0
606,-1,0,1,0,0,0,0
607,-1,0,0,1,0,0,0
608,-1,0,1,0,0,0,0
609,2,0,0,0,1,0,0
610,-1,0,1,0,0,0,0
611,-10,0,0,0,0,0,0
612,-10,0,0,0,0,0,0
613,2,0,0,0,1,0,0
614,-1,0,1,0,0,0,0
615,-1,0,1,0,0,0,0
616,2,0,0,0,0,0,0
617,2,0,0,0,1,0,0
618,-1,-1,0,0,0,0,1
619,-1,0,1,0,0,0,0
620,2,0,0,0,1,0,0
621,2,0,0,0,0,0,0
622,-1,0,1,0,0,0,0
